audio_file|text|speaker_name
wavs/common_voice_th_42696553.wav|ฝันดีบ๊วบ|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696554.wav|คนจนเขากินอะไรกัน แกงแกะ แกะจากถุงพลาสติก|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696555.wav|เหตุเป็นประเด็นเกี่ยวการเมือง|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696556.wav|เลี้ยงในเมืองหิมะสิครับ ไม่ไกล|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696557.wav|ไม่หาย แต่ถูกก๊อปไปแล้ว?|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696558.wav|ทำไปก่อนเลยฮะ เดี๋ยวช่วยเติม|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696559.wav|รัก แต่พอคนรีวิวห่วยปุ๊บขู่ฟ้องทันที|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696560.wav|พระเจ้าจอร์จมันยอดมาก|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696561.wav|สืบคนพบ|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696562.wav|ดาวิเด โดริโก้|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696564.wav|พวกหมูและวัววิ่งไปทุกที่|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696565.wav|รวยอะ แบ่งมามั่ง|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696566.wav|ขอลงไปเป่าเครื่องใหญ่เลย อันนั้นมันเปลี่ยนหลอดตรงปลายตลอด|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696567.wav|สิ่งมีชีวิตผอมแห้งที่ยากจนทั้งหมด แต่นมัสการพระองค์|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696568.wav|เขาดูอีกครั้งเกี่ยวกับห้อง|19681d569b6185a8b9bc8a2c8685d563538f332b703bb236bc7cf56b3ee247c85964b35c03c590c762a9ebdb94e5066d33a6956eb7264ace824689b0d252e874
wavs/common_voice_th_42696569.wav|ชอบความล้ำของวันหนึ่งฉันเดินเข้าป่า และคุณภาพการทำเพลงมาก|19681d569b6185a8b9bc8a2c8685d563538f332b703bb236bc7cf56b3ee247c85964b35c03c590c762a9ebdb94e5066d33a6956eb7264ace824689b0d252e874
wavs/common_voice_th_42696570.wav|ไม่ใส่ผงชูรส|19681d569b6185a8b9bc8a2c8685d563538f332b703bb236bc7cf56b3ee247c85964b35c03c590c762a9ebdb94e5066d33a6956eb7264ace824689b0d252e874
wavs/common_voice_th_42696571.wav|ชอบเด็กที่มีอายุมากกว่าตัวเอง ทำไงดี|19681d569b6185a8b9bc8a2c8685d563538f332b703bb236bc7cf56b3ee247c85964b35c03c590c762a9ebdb94e5066d33a6956eb7264ace824689b0d252e874
wavs/common_voice_th_42696572.wav|ก่อนหน้านี้เขา|19681d569b6185a8b9bc8a2c8685d563538f332b703bb236bc7cf56b3ee247c85964b35c03c590c762a9ebdb94e5066d33a6956eb7264ace824689b0d252e874
wavs/common_voice_th_42696573.wav|แนะนำมะ|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
wavs/common_voice_th_42696574.wav|วันไร้สมอง|2eeefcd1dcd93c9d57e14ffc1e741ce7746e0d51f1bc96cf31921feb74d44114dd7d5107fdfe3aa976bd330baabe5d6d4f411e5edc350a248d10ca1929b51c88
